BMRBid or DOI,Title,Simulation available,Sequence length
BMRBid50115,"Backbone 13C, and 15N Chemical Shift Assignments for ChiZ N-terminal Domain",Yes,67
BMRBid19993,Lysyl t-RNA synthetase 1-72,Yes,72
10.1021/acs.jpcb.8b02250,Rotational Dynamics of Proteins from Spin Relaxation Times and Molecular Dynamics Simulations,Yes,92
10.7717/peerj.5412,NMR structure of the C-terminal domain of TonB protein from <i>Pseudomonas aeruginosa</i>,Yes,99
BMRBid27321,"1H, 13C and 15N Chemical Shift Assignments and 15N backbone relaxation data for intracellular loop 2 of the human ZIP4 protein",Yes,100
10.1016/j.bpj.2015.06.069,Distribution of Pico- and Nanosecond Motions in Disordered Proteins from Nuclear Spin Relaxation,Yes,117
10.1074/jbc.m106777200,Residual Structure and Dynamics in Parkinson's Disease-associated Mutants of α-Synuclein,Yes,140
BMRBid51529,Relaxation parameters of calcium loaded human calmodulin at pH 7.0 and 37degC (600 MHz),Yes,148
BMRBid19164,solution structure of cerebral dopamine neurotrophic factor (CDNF),Yes,161
10.1016/j.febslet.2010.03.008,Solution structure and dynamics of mouse ARMET,Yes,171
10.3390/ijms17081305,Characterizing Aciniform Silk Repetitive Domain Backbone Dynamics and Hydrodynamic Modularity,Yes,199
BMRBid25519,NMR structure of Neuromedin C in aqueous solution.,No,11
BMRBid25523,NMR structure of Neuromedin C in 60% TFE,No,11
BMRBid25525,NMR structure of Neuromedin C in presence of SDS micelles,No,11
BMRBid16907,The hemagglutinin fusion peptide (H1 subtype) at pH 7.4,No,30
BMRBid18617,Conformational ensemble for the G8A mutant of the influenza hemagglutinin fusion peptide,No,30
BMRBid25121,The influenza hemagglutinin fusion domain is an amphipathic helical-hairpin that functions by inducing negative membrane curvature,No,30
BMRBid26507,Whole-Body Rocking Motion of a Fusion Peptide in Lipid Bilayers from Size-Dispersed 15N NMR Relaxation,No,30
BMRBid5272,"1H, 13C and 15N chemical shift assignments of Schistocerca gregaria chymotrypsin inhibitor",No,35
BMRBid6880,"1H, 13C and 15N chemical shift assignments of Schistocerca gregaria chymotrypsin inhibitor at pH=6.0",No,35
BMRBid50001,Solution structure of protein ARR_CleD in complex with c-di-GMP,No,36
BMRBid5548,Bovine Pancreatic Polypeptide (bPP) undergoes significant changes in conformation and dynamics upon binding to DPC micelles,No,37
BMRBid5549,"Neuropeptide Y5-Receptor II: Solution Structure and Dynamics of [31Ala,32Pro]-NPY",No,37
BMRBid16845,Cementoin backbone chemical assignment and spin relaxation,No,38
BMRBid18191,Solution structure of Sgf11(63-99) zinc finger domain,No,38
BMRBid51055,Chemical shifts and relaxation data from DREB2A 243-276,No,44
BMRBid18192,Solution structure of Sgf73(59-102) zinc finger domain,No,45
BMRBid15364,Solution Structure of Human Immunodificiency Virus Type-2 Nucleocapsid Protein,No,49
BMRBid16482,Solution Structure of complement repeat CR17 from LRP-1,No,50
BMRBid36171,NMR structure of IRD12 from Capsicum annum.,No,50
BMRBid18971,Structure and dynamics of a human Nedd4 WW domain-ENaC complex,No,54
BMRBid5518,Role of backbone dynamics and structure in controlling the hydrolysis constants of serine proteinase inhibitors,No,56
BMRBid5519,Role of backbone dynamics and structure in controlling the hydrolysis constants of serine proteinase inhibitors,No,56
BMRBid5521,Role of backbone dynamics and structure in controlling the hydrolysis constants of serine proteinase inhibitors,No,56
BMRBid27359,"Backbone (HN, N, HA) Resonance Assignment and 15N T1, T2 Relaxation Parameters for Abl1 SH3",No,58
BMRBid25312,SOLUTION STRUCTURE OF HUMAN MBD1 CXXC1 DOMAIN,No,61
BMRBid50119,Intramolecular synergy enhances the microtubule end-binding affinity of EB1,No,61
BMRBid50120,Intramolecular synergy enhances the microtubule end-binding affinity of EB1,No,61
BMRBid7036,"Backbone 1H, 13C, and 15N Chemical Shift Assignments for 3rd SH3 domain of human NCK2 adaptor protein",No,61
BMRBid15144,Side-chain relaxation in SH3 domain from alpha-spectrin measured at multiple temperatures,No,62
BMRBid15014,Solution structure of the RING domain from human TRAF6.,No,63
BMRBid51230,CI2 backbone and methyl assignment,No,64
BMRBid51234,CI2 I57V backbone and methyl assignment,No,64
BMRBid51235,CI2 L49I backbone and methyl assignment,No,64
BMRBid51236,CI2 L49I/I57V backbone and methyl assignment,No,64
BMRBid19948,The proline-rich region of 18.5-kDa myelin basic protein requires long-range interactions with residues upstream to interact with the SH3-domain of Fyn,No,70
BMRBid15655,"Solution structure of CopK, a periplasmic protein involved in copper resistance in Cupriavidus metallidurans CH34",No,74
BMRBid4390,Backbone dynamics of the human CC-chemokine eotaxin,No,74
BMRBid50238,"Backbone (1H, 13C and 15N) Chemical Shift Assignments and 15N Relaxation Parameters for protein kinase Inhibitor alpha (PKIa) free state",No,75
BMRBid26519,Studying Invisible Excited Protein States in Slow Exchange with a Major State Conformation,No,76
BMRBid18351,Solution structure of the Class II hydrophobin NC2,No,80
BMRBid25389,"Backbone 1HN,15N assignments, 15N relaxation data and 3JHNHA coupling constants for wild-type Hydrogenobacter thermophilus cytochrome c552",No,80
BMRBid25390,"Backbone 1HN,15N assignments, 15N relaxation data and 3JHNHA coupling constants for the C10A/C13A variant of Hydrogenobacter thermophilus cytochrome c552",No,80
BMRBid17266,Solution structure of the C-terminal domain of SilB from Cupriavidus metallidurans,No,82
BMRBid19356,Solution structure of the chimeric hydrophobin NChi2,No,88
BMRBid51103,"TIA-1 prion-like domain, relaxation data",No,91
BMRBid16480,NMR solution structure of double module LA45 of LDLR,No,94
BMRBid18380,"Backbone 1H, 13C, and 15N Chemical Shift Assignments and Complete 15N Relaxation Analysis of the Soluble C-terminal Domain of CcmE Heme Chaperone from Desulfovibrio vulgaris, dvCcmE(44-137). Northeast Structural Genomics Target DvR115.",No,97
BMRBid5079,Backbone dynamics of the functional domain of Paracoccus denitrificans Cytochrome c552 in the Reduced state,No,100
BMRBid5080,Backbone dynamics of the functional domain of Paracoccus denitrificans Cytochrome c552 in the Oxidized state,No,100
